Artist ,Event Title,Event Date,Year,Country ,City,Genre(s),Notes/Highlights
FILM,Boxout Wednesdays 069,11th July,2018,,,,
Bhish,Boxout Wednesdays 069,11th July,2018,,,,
NPSTR,Boxout Wednesdays 069,11th July,2018,,,,
Stain ,Boxout Wednesdays 069,11th July,2018,India ,New Delhi,,
Prabh Deep,Boxout Wednesdays 070,18th July,2018,India ,New Delhi ,,
Seedhe Maut,Boxout Wednesdays 070,18th July,2018,India ,New Delhi ,,
Sodhi,Boxout Wednesdays 070,18th July,2018,India ,New Delhi ,,
MIREDO,Boxout Wednesdays 070,18th July,2018,,,,
Danny Scrilla,Boxout Wednesdays 071,25th July ,2018,,,,
A/K/A Sounds,Boxout Wednesdays 071,25th July ,2018,,,,
MC Soopy,Boxout Wednesdays 071,25th July ,2018,India ,,,
Nishant gill,Boxout Wednesdays 071,25th July ,2018,,,,
Drum Attic,Boxout Wednesdays 072,1st Aug ,2018,,,,
Mister.K,Boxout Wednesdays 072,1st Aug ,2018,,,,
DNKLE,Boxout Wednesdays 072,1st Aug ,2018,,,,
Tanzen,Boxout Wednesdays 072,1st Aug ,2018,,,,
Stain ,Boxout Wednesdays 072,1st Aug ,2018,,,,
Yidam,Boxout Wednesdays 073,8th Aug ,2018,,,,
Flexi K,Boxout Wednesdays 073,8th Aug ,2018,,,,
Jamblu ,Boxout Wednesdays 073,8th Aug ,2018,,,,
MC Soopy,Boxout Wednesdays 073,8th Aug ,2018,,,,
MIREDO,Boxout Wednesdays 073,8th Aug ,2018,,,,
Abhi Meer,Boxout Wednesdays 074,22nd Aug,2018,,,,
Girls Night Out ,Boxout Wednesdays 074,22nd Aug,2018,,,,
Nishant gill,Boxout Wednesdays 074,22nd Aug,2018,,,,
Sodhi,Boxout Wednesdays 074,22nd Aug,2018,,,,
AGENT,Boxout Wednesdays 075,29th Aug,2018,,,,
moniker,Boxout Wednesdays 075,29th Aug,2018,,,,
Vridian Music ,Boxout Wednesdays 075,29th Aug,2018,,,,
Ezzyland,Boxout Wednesdays 076,5th Sep,2018,,,,
GMB,Boxout Wednesdays 076,5th Sep,2018,,,,
Tanzen,Boxout Wednesdays 076,5th Sep,2018,,,,
Hiranya,Boxout Wednesdays 076,5th Sep,2018,,,,
Shireen,Boxout Wednesdays 076,5th Sep,2018,,,,
DY,Boxout Wednesdays 076,5th Sep,2018,,,,
Daisuke ,Boxout Wednesdays 077,12th Sep,2018,,,,
Tanabe ,Boxout Wednesdays 077,12th Sep,2018,,,,
CEE,Boxout Wednesdays 077,12th Sep,2018,,,,
Vijeyata ,Boxout Wednesdays 077,12th Sep,2018,,,,
Pia Collada,Boxout Wednesdays 077,12th Sep,2018,,,,
Lush Lata,Boxout Wednesdays 077,12th Sep,2018,,,,
Pablo Valentino ,Boxout Wednesdays 078,19th Sep ,2018,,,,
Rohan Kale,Boxout Wednesdays 078,19th Sep ,2018,,,,
Priyam ,Boxout Wednesdays 078,19th Sep ,2018,,,,
Kavtinaa,Boxout Wednesdays 078,19th Sep ,2018,,,,
E,Boxout Wednesdays 078,19th Sep ,2018,,,,
Flowdan ,Boxout Wednesdays 079,26th Sep,2018,,,,
Sub-Z,Boxout Wednesdays 079,26th Sep,2018,,,,
Febbymomma,Boxout Wednesdays 079,26th Sep,2018,,,,
Zen Zenan,Boxout Wednesdays 079,26th Sep,2018,,,,
Oindrilla,Boxout Wednesdays 079,26th Sep,2018,,,,
Tansane,Boxout Wednesdays 080,3rd Oct,2018,,,,
Nigel,Boxout Wednesdays 080,3rd Oct,2018,,,,
MC Soopy,Boxout Wednesdays 080,3rd Oct,2018,,,,
Fadescha,Boxout Wednesdays 080,3rd Oct,2018,,,,
Hiranya,Boxout Wednesdays 080,3rd Oct,2018,,,,
DY,Boxout Wednesdays 080,3rd Oct,2018,,,,
Maghreban,Boxout Wednesdays 081,10th Oct,2018,,,,
Girls Night Out ,Boxout Wednesdays 081,10th Oct,2018,,,,
Priyum ,Boxout Wednesdays 081,10th Oct,2018,,,,
Lush Lata,Boxout Wednesdays 081,10th Oct,2018,,,,
Pia Collada,Boxout Wednesdays 081,10th Oct,2018,,,,
dreamstates,Boxout Wednesdays 082,17th Oct,2018,,,,
Zokhuma,Boxout Wednesdays 082,17th Oct,2018,,,,
DJ Sapphic,Boxout Wednesdays 082,17th Oct,2018,,,,
Shreen,Boxout Wednesdays 082,17th Oct,2018,,,,
Vijeyata,Boxout Wednesdays 082,17th Oct,2018,,,,
Bryron The Aqarius ,Boxout Wednesdays 083,24th Oct,2018,,,,
Midland Sparks,Boxout Wednesdays 083,24th Oct,2018,,,,
Rodali ,Boxout Wednesdays 083,24th Oct,2018,,,,
Kabtinaa ,Boxout Wednesdays 083,24th Oct,2018,,,,
Zequenx,Boxout Wednesdays 083,24th Oct,2018,,,,
Chands,Boxout Wednesdays 084,31st Oct,2018,,,,
Febbymomma,Boxout Wednesdays 084,31st Oct,2018,,,,
Oindrilla,Boxout Wednesdays 084,31st Oct,2018,,,,
Ah! Kosmos,Boxout Wednesdays 085,14th Nov,2018,,,,
Fopchu,Boxout Wednesdays 085,14th Nov,2018,,,,
Vijeyata,Boxout Wednesdays 085,14th Nov,2018,,,,
Lush Lata,Boxout Wednesdays 085,14th Nov,2018,,,,
Priyam ,Boxout Wednesdays 085,14th Nov,2018,,,,
Joh1st,Boxout Wednesdays 086,21st Nov,2018,,,,
Tanzen,Boxout Wednesdays 086,21st Nov,2018,,,,
Sodhi,Boxout Wednesdays 086,21st Nov,2018,,,,
Pia Collada,Boxout Wednesdays 086,21st Nov,2018,,,,
Kavtinaa,Boxout Wednesdays 086,21st Nov,2018,,,,
E,Boxout Wednesdays 086,21st Nov,2018,,,,
Daedeulus,Boxout Wednesdays 087,28th Nov,2018,,,,
Phon_o,Boxout Wednesdays 087,28th Nov,2018,,,,
Lacuna,Boxout Wednesdays 087,28th Nov,2018,,,,
Zequenx,Boxout Wednesdays 087,28th Nov,2018,,,,
Fadescha,Boxout Wednesdays 087,28th Nov,2018,,,,
Shireen,Boxout Wednesdays 087,28th Nov,2018,,,,
Nathan Jonson,Boxout Wednesdays 088,5th Dec,2018,,,,
Fourmi Rouz,Boxout Wednesdays 088,5th Dec,2018,,,,
Girls Night Out ,Boxout Wednesdays 088,5th Dec,2018,,,,
Oindrilla,Boxout Wednesdays 088,5th Dec,2018,,,,
Priyam ,Boxout Wednesdays 088,5th Dec,2018,,,,
DY,Boxout Wednesdays 088,5th Dec,2018,,,,
The 264 Cru,Boxout Wednesdays 089,12th Dec,2018,,,,
Short Human,Boxout Wednesdays 089,12th Dec,2018,,,,
Vijeyata,Boxout Wednesdays 089,12th Dec,2018,,,,
Shireen,Boxout Wednesdays 089,12th Dec,2018,,,,
DJRUM,Boxout Wednesdays 090,19th Dec,2018,,,,
Manaalina,Boxout Wednesdays 090,19th Dec,2018,,,,
Ose,Boxout Wednesdays 090,19th Dec,2018,,,,
Fadescha,Boxout Wednesdays 090,19th Dec,2018,,,,
Lush Lata,Boxout Wednesdays 090,19th Dec,2018,,,,
Zen Zenan,Boxout Wednesdays 090,19th Dec,2018,,,,
Memba,Boxout Wednesdays 091,26th Dec,2018,,,,
MadStarBase,Boxout Wednesdays 091,26th Dec,2018,,,,
DJ MoCity,Boxout Wednesdays 091,26th Dec,2018,,,,
Nash JR,Boxout Wednesdays 091,26th Dec,2018,,,,
Pia Collada,Boxout Wednesdays 091,26th Dec,2018,,,,
Hiranya,Boxout Wednesdays 091,26th Dec,2018,,,,
Rodali ,Boxout Wednesdays 091,26th Dec,2018,,,,
Zipporah,Boxout Wednesdays 092,2nd Jan ,2019,,,,
Azúcar,Boxout Wednesdays 092,2nd Jan ,2019,,,,
Egoless ,Boxout Wednesdays 093,9th Jan,2019,,,,
Stain ,Boxout Wednesdays 093,9th Jan,2019,,,,
Kavtinaa,Boxout Wednesdays 093,9th Jan,2019,,,,
E,Boxout Wednesdays 093,9th Jan,2019,,,,
Channel One Sound System,Boxout Wednesdays 094,16th Jan,2019,,,,
Dreadsquad,Boxout Wednesdays 095,23rd Jan,2019,,,,
Jimmy Pé,Boxout Wednesdays 095,23rd Jan,2019,,,,
Nishant gill,Boxout Wednesdays 096,30th Jan ,2019,,,,
Trafficc,Boxout Wednesdays 096,30th Jan ,2019,,,,
Monophonik ,Boxout Wednesdays 096,30th Jan ,2019,,,,
Reggae Rajahs ,Boxout Wednesdays 097,6th Feb,2019,,,,
Mowgli ,Boxout Wednesdays 098,13th Feb ,2019,,,,
Shama Anwar,Boxout Wednesdays 098,13th Feb ,2019,,,,
Vijeyatra ,Boxout Wednesdays 098,13th Feb ,2019,,,,
Clicks and Errors,Boxout Wednesdays 099,20th Feb,2019,,,,
Diana Lovrin,Boxout Wednesdays 099,20th Feb,2019,,,,
Fossik Project ,Boxout Wednesdays 099,20th Feb,2019,,,,
Lucid Raaga ,Boxout Wednesdays 099,20th Feb,2019,,,,
Viktor Furiani ,Boxout Wednesdays 099,20th Feb,2019,,,,
Samvida Nanda ,Boxout Wednesdays 099,20th Feb,2019,,,,
Param Virdee,Boxout Wednesdays 099,20th Feb,2019,,,,
Priyam ,Boxout Wednesdays 099,20th Feb,2019,,,,
E,Boxout Wednesdays 099,20th Feb,2019,,,,
The Librarian ,Boxout Wednesdays 100,27th Feb ,2019,,,,
Kavtinaa,Boxout Wednesdays 100,27th Feb ,2019,,,,
Crylighter ,Boxout Wednesdays 100,27th Feb ,2019,,,,
Shireen,Boxout Wednesdays 100,27th Feb ,2019,,,,
Boxout Soundsystem,Boxout Wednesdays 101,6th March,2019,,,,
Electrikuki,Boxout Wednesdays 101,6th March,2019,,,,
Febbymomma,Boxout Wednesdays 101,6th March,2019,,,,
Perera Elsewhere ,Boxout Wednesdays 102,13th March,2019,,,,
Rhythm Sister ,Boxout Wednesdays 102,13th March,2019,,,,
Kabtinaa ,Boxout Wednesdays 102,13th March,2019,,,,
Vijeyata,Boxout Wednesdays 102,13th March,2019,,,,
Real Dutty Beats ,Boxout Wednesdays 103,20th March,2019,,,,
Lush Lata,Boxout Wednesdays 103,20th March,2019,,,,
Short Human,Boxout Wednesdays 103,20th March,2019,,,,
Priyam ,Boxout Wednesdays 103,20th March,2019,,,,
Opium Hum ,Boxout Wednesdays 104,27th March,2019,,,,
Cee,Boxout Wednesdays 104,27th March,2019,,,,
Marco Weibel ,Boxout Wednesdays 104,27th March,2019,,,,
Al Mat,Boxout Wednesdays 104,27th March,2019,,,,
Rodali ,Boxout Wednesdays 104,27th March,2019,,,,
Sukh Knight ,Boxout Wednesdays 105,3rd April ,2019,,,,
Stain ,Boxout Wednesdays 105,3rd April ,2019,,,,
Kaleekarma ,Boxout Wednesdays 106,10th April,2019,,,,
Diggy Dang,Boxout Wednesdays 107,17th April ,2019,,,,
Starboy Nation ,Boxout Wednesdays 107,17th April ,2019,,,,
Nash JR,Boxout Wednesdays 107,17th April ,2019,,,,
