Artist ,Event Title,Event Date,Year,Country ,City,Genre(s),Notes/Highlights
Barnet,Boxout Wednesdays 183,27th April ,2022,Germany,Berlin,"House, Disco, Soul, Electronica",
Annushka,Boxout Wednesdays 183,27th April ,2022,Germany,Berlin,"Electronica, Indie, Experimental, Pop",
Culoe De Song,Boxout Wednesdays 184,4th May,2022,,,"Afro House, Deep House, Soulful, Tribal",
Girls Night Out ,Boxout Wednesdays 184,4th May,2022,India ,New Delhi,"Disco, Funk, House, Soul",
Sodhi,Boxout Wednesdays 184,4th May,2022,India ,New Delhi,"Hip-Hop, Beats, Club, Bass",
Discostan,Boxout Wednesdays 185,11th May,2022,,,"Global Club, Experimental, Bass, Techno",
D80,Boxout Wednesdays 185,11th May,2022,India ,New Delhi,"Electronica, Ambient, Downtempo, Experimental",
Okedo ,Boxout Wednesdays 185,11th May,2022,India ,New Delhi,"Techno, House, Minimal, Experimental",
Zed Bias,Boxout Wednesdays 186,18th May,2022,,,"UK Garage, Bassline, Club, 2-Step",
YNZN.P,Boxout Wednesdays 186,18th May,2022,Nepal,Kathmandu,"Hip-Hop, Trap, Bass, Experimental",
Trafficc,Boxout Wednesdays 186,18th May,2022,India ,New Delhi,"Bass, Techno, Club, Electronica",
EZ Riser,Boxout Wednesdays 187,25th May,2022,India ,Mumbai,"Bass, Experimental, Club, Leftfield",
Unfuckman,Boxout Wednesdays 187,25th May,2022,India ,New Delhi,"Hip-Hop, Beats, Club, Bass",
Priyam ,Boxout Wednesdays 187,25th May,2022,India ,New Delhi,"Hip-Hop, Beats, Soul, Chillhop",
Zequenx ,Boxout Wednesdays 188,1st June,2022,India ,Goa,"Electronica, Ambient, Downtempo, Experimental",
Shantam ,Boxout Wednesdays 188,1st June,2022,India ,,"Downtempo, Electronica, Organic House, Ambient",
BAST,Boxout Wednesdays 188,1st June,2022,India ,,"Ambient, Experimental, Electronica, Minimal",
The Fully Automatic Model,Boxout Wednesdays 189,8th June,2022,Northern Ireland,Derry,"Techno, House, Deep House, Soulful",
Kaleekarma,Boxout Wednesdays 189,8th June,2022,India ,Goa,"Ambient, Downtempo, Electronica, Experimental",
Pale Blue Dotter,Boxout Wednesdays 189,8th June,2022,India ,New Delhi,"Bass, Dubstep, Breaks, Experimental",
Stain ,Boxout Wednesdays 190,15th June,2022,India ,New Delhi,"Drum and Bass, Jungle, Halftime, Breaks",
Bamboy ,Boxout Wednesdays 190,15th June,2022,India ,Mumbai,"Hip-Hop, Soul, R&B, Beats",
Lush Lata,Boxout Wednesdays 190,15th June,2022,India ,New Delhi,"Electronica, House, Disco, Soul",
Shortsell,Boxout Wednesdays 190,15th June,2022,India ,New Delhi,"Bass, Techno, Club, Electronica",
CZETAN,Boxout Wednesdays 190,15th June,2022,India ,Chandigarh,"Electronica, Experimental, Techno, Minimal",
Abhinav ,Boxout Wednesdays 190,15th June,2022,India ,New Delhi,"Ambient, Downtempo, Chill, Experimental",
Alpha's World,Boxout Wednesdays 190,15th June,2022,India ,New Delhi,"Electronica, Ambient, Downtempo, Experimental",
Ramita,Boxout Wednesdays 190,15th June,2022,India ,New Delhi,"Hip-Hop, Beats, Soul, Chillhop",
Jayhaan,Boxout Wednesdays 191,22nd June,2022,India ,Mumbai,"Hip-Hop, Beats, Club, Bass",Fete De La Musique 2022
Raj,Boxout Wednesdays 191,22nd June,2022,India ,New Delhi,"Hip-Hop, Beats, Soul, Chillhop",Fete De La Musique 2022
Ukato ,Boxout Wednesdays 191,22nd June,2022,India ,New Delhi,"Indie, Electronica, Experimental, Pop",Fete De La Musique 2022
Dam Square,Boxout Wednesdays 191,22nd June,2022,India ,New Delhi,"Hip-Hop, Beats, Club, Bass",Fete De La Musique 2022
Watashi ,Boxout Wednesdays 192,29th June,2022,India ,Bengaluru,"Techno, House, Ambient, Experimental",
Lacuna ,Boxout Wednesdays 192,29th June,2022,India ,Chandigarh,"Ambient, Downtempo, Electronica, Experimental",
Tanzen,Boxout Wednesdays 192,29th June,2022,India ,New Delhi,"Techno, House, Experimental, Minimal",
Kartik,Boxout Wednesdays 192,29th June,2022,India ,New Delhi,"Electronica, Ambient, Downtempo, Experimental",Fete De La Musique 2022
Hamdi ,Boxout Wednesdays 193,6th July,2022,,,"UK Garage, Dubstep, Bass, Club",
Rasa,Boxout Wednesdays 193,6th July,2022,India ,Bengaluru,"Electronica, Downtempo, Organic House, Soul",
Priyam ,Boxout Wednesdays 193,6th July,2022,India ,New Delhi,"Hip-Hop, Beats, Soul, Chillhop",
Zealotantrik,Boxout Wednesdays 193,6th July,2022,India ,New Delhi,"Jazz, Soul, Funk, Fusion",
Jitwam ,Boxout Wednesdays 194,13th July,2022,USA,"Brooklyn, New York","Electronica, Techno, House, Experimental",
Kreon,Boxout Wednesdays 194,13th July,2022,India ,New Delhi,"Hip-Hop, Beats, Club, Bass",
DJ Pants,Boxout Wednesdays 194,13th July,2022,India ,New Delhi,"R&B, Soul, Pop, Electronica",
K-block,Boxout Wednesdays 194,13th July,2022,India ,New Delhi,"Experimental, Ambient, Downtempo, Electronica",
Alina ,Boxout Wednesdays 195,20th July,2022,India ,Bengaluru,"Hip-Hop, Beats, Club, Bass",
Mutable Mercury ,Boxout Wednesdays 195,20th July,2022,India ,New Delhi,"Hip-Hop, Beats, Reggae, Soul",
Blu Attic,Boxout Wednesdays 195,20th July,2022,India ,New Delhi,"Hip-Hop, Beats, Soul, Chillhop",
Antariksh Daddy,Boxout Wednesdays 195,20th July,2022,India ,New Delhi,"Hip-Hop, Beats, Club, Bass",
MadStarBase,Boxout Wednesdays 196,27th July,2022,India ,New Delhi,"Hip-Hop, Beats, Reggae, Soul",
Tansane,Boxout Wednesdays 196,27th July,2022,India ,New Delhi,"Electronica, Downtempo, Ambient, Experimental",
Dr Psych,Boxout Wednesdays 196,27th July,2022,India ,New Delhi,"Techno, House, Electronica, Ambient",
Khyber13,Boxout Wednesdays 196,27th July,2022,India ,Chandigarh,"Drum and Bass, Jungle, Halftime, Breaks",
Su Real,Boxout Wednesdays 197,3rd Aug,2022,India ,New Delhi,"Hip-Hop, Dancehall, Reggae, Bass",
DJ Skip,Boxout Wednesdays 197,3rd Aug,2022,India ,New Delhi,"Hip-Hop, Turntablism, Club, Bass",
DJ Karma,Boxout Wednesdays 197,3rd Aug,2022,India ,New Delhi,"Hip-Hop, Beats, Club, Soul",
Irie Dance Crew,Boxout Wednesdays 197,3rd Aug,2022,India ,New Delhi,"Reggae, Dancehall, Dub, Roots",
Sodhi ,Boxout Wednesdays 198,10th Aug,2022,India ,New Delhi,"Hip-Hop, Beats, Club, Bass",
MC Soopy,Boxout Wednesdays 198,10th Aug,2022,India ,New Delhi,"Hip-Hop, Beats, Reggae, Soul",
Anirudh Khurana,Boxout Wednesdays 198,10th Aug,2022,India ,New Delhi,"Hip-Hop, Beats, Club, Bass",
Panik,Boxout Wednesdays 198,10th Aug,2022,India ,New Delhi,"Electronica, Downtempo, Experimental, Ambient",
Unfuckman,Boxout Wednesdays 199,17th Aug,2022,India ,New Delhi,"Hip-Hop, Beats, Club, Bass",
Dhanji,Boxout Wednesdays 199,17th Aug,2022,India ,New Delhi,"Hip-Hop, Rap, Experimental, Indie",
Raghav,Boxout Wednesdays 199,17th Aug,2022,India ,New Delhi,"Hip-Hop, Beats, Soul, Chillhop",
BC Azad,Boxout Wednesdays 199,17th Aug,2022,India ,New Delhi,"Hip-Hop, Trap, Rap, Experimental",
Baajewala,Boxout Wednesdays 199,17th Aug,2022,India ,New Delhi,"Hip-Hop, Rap, Club, Experimental",
Madam X,Boxout Wednesdays 200,24th Aug,2022,,,"Hip-Hop, Rap, Club, Bass",
Bønehead,Boxout Wednesdays 200,24th Aug,2022,India ,New Delhi,"Grime, UK Funky, Bass, Club",
Maddeof,Boxout Wednesdays 200,24th Aug,2022,India ,New Delhi,"Techno, Experimental, Electronica, Ambient",
Awara Sound,Boxout Wednesdays 200,24th Aug,2022,Italy,,"Techno, House, Bass, Electronica",
Nash ,Boxout Wednesdays 201,31st Aug,2022,India ,New Delhi,"Afro House, Deep House, Soulful, Tribal",
thegreybox,Boxout Wednesdays 201,31st Aug,2022,India ,New Delhi,"Hip-Hop, Beats, Club, Bass",
Dam Square,Boxout Wednesdays 201,31st Aug,2022,India ,New Delhi,"Bass, Techno, Club, Electronica",
Monophonik ,Boxout Wednesdays 202,7th Sep,2022,India ,New Delhi,"Electronica, Techno, Ambient, Experimental",
Trafficc,Boxout Wednesdays 202,7th Sep,2022,India ,New Delhi,"Techno, House, Acid, Minimal",
Flux Vortex,Boxout Wednesdays 202,7th Sep,2022,India ,New Delhi,"Bass, Techno, Experimental, Club",
Hiranya ,Boxout Wednesdays 202,7th Sep,2022,India ,New Delhi,"Bass, Techno, Club, Electronica",
Dappest ,Boxout Wednesdays 203,14th Sep,2022,,,"Electronica, Ambient, Downtempo, Experimental",
adL,Boxout Wednesdays 203,14th Sep,2022,,,"Hip-Hop, Beats, Club, Bass",
Ranj ,Boxout Wednesdays 203,14th Sep,2022,India ,Chennai,"House, Techno, Afrobeat, Experimental",
Clifr ,Boxout Wednesdays 203,14th Sep,2022,India ,Chennai,"Hip-Hop, Rap, Club, Experimental",
Owlist,Boxout Wednesdays 203,14th Sep,2022,India ,Chandigarh,"Hip-Hop, Beats, Club, Bass",
DJ Uri ,Boxout Wednesdays 204,21st Sep,2022,India ,Goa,"Electronica, Experimental, Ambient, Downtempo",
Dr Psych,Boxout Wednesdays 204,21st Sep,2022,India ,New Delhi,"Hip-Hop, Breaks, Turntablism, Reggae",
Anirudh Khurana,Boxout Wednesdays 204,21st Sep,2022,India ,New Delhi,"Techno, House, Ambient, Experimental",
DJ Plead,Boxout Wednesdays 205,28th Sep,2022,,,"Electronica, Downtempo, Ambient, Experimental",
Sleepy Insomniac ,Boxout Wednesdays 205,28th Sep,2022,India ,New Delhi,"Global Club, Bass, Experimental, Techno",
Antariksh Daddy,Boxout Wednesdays 205,28th Sep,2022,India ,New Delhi,"Electronica, Downtempo, Experimental, Ambient",
Noni-Mouse,Boxout Wednesdays 206,5th Oct,2022,India ,Mumbai,"Experimental, Electronica, Downtempo, Pop",
Frame/Frame,Boxout Wednesdays 206,5th Oct,2022,India ,,"Electronica, Experimental, Downtempo, Pop",
Girls Night Out ,Boxout Wednesdays 206,5th Oct,2022,India ,New Delhi,"Disco, Funk, House, Soul",
K-block,Boxout Wednesdays 206,5th Oct,2022,India ,New Delhi,"Hip-Hop, Beats, Club, Bass",
Delhi Sultanate ,Boxout Wednesdays 207,12th Oct,2022,India ,New Delhi,"Reggae, Dub, Dancehall, Roots",
DJ MoCity,Boxout Wednesdays 207,12th Oct,2022,India ,New Delhi,"Hip-Hop, Beats, Reggae, Soul",
Pagal Records,Boxout Wednesdays 207,12th Oct,2022,India ,New Delhi,"Vinyl, Selector, Jazz, Soul",
Sukh Knight,Boxout Wednesdays 208,19th Oct,2022,UK,London,"Grime, Dubstep, UK Garage, Bass",
Squarewave,Boxout Wednesdays 208,19th Oct,2022,UK,London,"Dubstep, Bass, UK Garage, Grime",
Stain ,Boxout Wednesdays 208,19th Oct,2022,India ,New Delhi,"Bass, Dubstep, Breaks, Experimental",
Doowap ,Boxout Wednesdays 209,26th Oct,2022,UAE,Dubai,"Afrobeats, Amapiano, Club, Global",
thegreybox,Boxout Wednesdays 209,26th Oct,2022,India ,New Delhi,"Electronica, Techno, Ambient, Experimental",
Gauriwho ,Boxout Wednesdays 209,26th Oct,2022,India ,New Delhi,"Electronica, Downtempo, Soul, Jazz",
DJ Pants,Boxout Wednesdays 209,26th Oct,2022,India ,New Delhi,"House, Disco, Funk, Soul",
Auntie Flo ,Boxout Wednesdays 210,2nd Nov,2022,,,"Afro House, World, Jazz, Fusion",
Sarathy Korwar,Boxout Wednesdays 210,2nd Nov,2022,,,"Jazz, Fusion, World, Electronica",
Digging In India,Boxout Wednesdays 210,2nd Nov,2022,India ,New Delhi,"Hip-Hop, Rap, Experimental, R&B",
Sahareya ,Boxout Wednesdays 211,9th Nov ,2022,,,"Garage, UK Funky, Bass, Club",
DJ Crisps,Boxout Wednesdays 211,9th Nov ,2022,,,"House, Soul, Funk, Disco",
Sunny Sun ,Boxout Wednesdays 211,9th Nov ,2022,,,"Hip-Hop, Beats, Club, Bass",
Shortsell,Boxout Wednesdays 211,9th Nov ,2022,India ,New Delhi,"Techno, Ambient, Experimental, Downtempo",
Dr Psych,Boxout Wednesdays 211,9th Nov ,2022,India ,New Delhi,"Bass, Dubstep, Jungle, Drum and Bass",
